Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Clean_Input_Trace_StdErr,Adv_Input_Trace,Adv_Input_Trace_StdErr,Clean_Param_Trace,Adv_Param_Trace,Clean_Grad_Norm,Adv_Grad_Norm
0,True,91,91,282,1.4469914808869362,0.3830230487105365,0.02520993191283196,0.007096014034614002,71.19185905456543,-21631.649609375,0.000418596260715276,5435.15283203125
1,True,218,218,265,15.05964103937149,5.203984663990136,10.297766044735909,2.6264364104850415,1930.8194702148437,34045.2333984375,0.8779904246330261,3257.711181640625
2,True,19,19,356,0.9961831286549568,0.283526046186966,6.21928114304319,2.005416559780177,78.5379852294922,49211.79296875,0.00024143725750036538,7026.009765625
3,True,808,808,921,35.863333797454835,4.6567574077277625,0.011177960666827857,0.0028301551978507458,1395.5563110351563,12851.221875,0.5081640481948853,1228.98779296875
4,True,416,416,459,84.66525301933288,32.91470574979723,2.50528195827604e-09,1.0206214815537741e-09,6414.54892578125,-13471.401171875,4.108700752258301,6640.005859375
5,True,89,89,173,0.06286642951890827,0.013071615287159258,1.4837467756170784e-11,1.2954398228209703e-11,11.24879846572876,2713.144140625,5.41108647666988e-06,4704.84912109375
6,True,793,793,433,0.5289429485797882,0.14719072045014645,-1.0421795114012866e-06,7.178726052810898e-07,97.26435794830323,-8398.311328125,0.0014695338904857635,1583.4251708984375
7,True,505,505,849,174.6108076095581,37.07087190066594,0.11254087332636117,0.04918617301580491,12748.572436523438,2530.7447265625,46.80694580078125,1217.225341796875
8,True,332,332,700,530.8075500488281,115.01040916422723,0.005346792217460461,0.0015149086741935735,21662.220324707032,5150.5328125,290.42840576171875,10017.1826171875
9,True,986,986,16,20.715084838867188,2.676630940006871,-0.001135201055149082,0.000522855651294871,1479.2458068847657,-5250.3587890625,0.14722123742103577,12955.1337890625
10,True,867,867,576,94.63898258209228,29.84395638656802,3.3374449776299373e-17,2.134503392551741e-17,11133.478515625,15757.791015625,6.319425582885742,3890.87841796875
11,True,116,116,557,132.7342903137207,26.755474873825868,1.4259476500910751e-06,7.137839516708417e-07,19666.791796875,-26455.3771484375,14.385589599609375,1476.987548828125
